Blues
Maalivahdit 		O 	LPP 	Arvo 
Virtanen Jesse 		0 	0 	150 000
Hyokkaajat 		O 	LPP 	Arvo 
Aaltonen Nico 		17 	65 	270 000
Elo Eero 		14 	101 	345 000
Jasu Juhani 		19 	69 	250 000
Kangasmaki Aki 		0 	0 	150 000
Keranen Janne 		19 	97 	400 000
Kivimaki Samuli 	13 	52 	240 000
Laaksonen Antti 	19 	103 	350 000
Laaksonen Jere 		0 	0 	150 000
McLean Kurtis 		8 	70 	450 000
Morrison Justin 	15 	165 	475 000
Mustonen Tomi 		0 	0 	150 000
Nabb Kim 		8 	5 	170 000
Nurmi Teemu 		15 	70 	295 000
Palola Olli 		19 	66 	260 000
Petruzalek Jakub 	17 	144 	465 000
Rajala Juuso 		1 	1 	150 000
Seitsonen Aki 		12 	14 	185 000
Tukonen Lauri 		19 	110 	415 000
Tuomainen Miikka 	13 	50 	290 000
Pelicans
Pelicans
Maalivahdit 		O 	LPP 	Arvo 
Hovinen Niko 		10 	85 	285 000
Huumonen Tuukka 	0 	0 	150 000
Kuusela Joonas 		0 	0 	150 000
Lamothe Marc 		2 	15 	340 000
Nikkila Tommi 		13 	110 	285 000
Puolustajat 		O 	LPP 	Arvo 
Forsstrom Jani 		15 	121 	325 000
Helenius Sami 		16 	30 	160 000
Hurri Joonas 		0 	0 	150 000
Jalvanti Joonas 	20 	95 	250 000
Kakko Erik 		14 	61 	270 000
Kousa Mikko 		1 	6 	200 000
Latvala Jan 		20 	163 	390 000
Laurila Henri 		8 	45 	150 000
Suhonen Samuli 		7 	32 	150 000
Tuhkanen Niko 		1 	5 	150 000
Uotila Juha 		18 	103 	265 000
Hyokkaajat 		O 	LPP 	Arvo 
Aaltonen Juhamatti 	20 	205 	440 000
Corazzini Carl 		0 	0 	150 000
Heino Henri 		20 	83 	285 000
Jantunen Marko 		18 	147 	385 000
Kauppila Jari 		20 	129 	310 000
Koivunen Toni 		0 	0 	150 000
Paakkolanvaara Tommi 	1 	7 	150 000
Piispanen Arsi 		20 	64 	230 000
Poyhonen Marko 		14 	52 	205 000
Rinkinen Teemu 		16 	84 	260 000
Saarinen Jesse 		18 	66 	250 000
Santavuori Tuomas 	14 	33 	260 000
Sihvonen Kari 		20 	68 	265 000
Sopanen Iiro 		0 	0 	150 000
Sopanen Vili 		18 	141 	340 000
Tavi Janne 		6 	5 	170 000
Tyrvainen Antti 	19 	102 	250 000
Tahtinen Markku 	16 	76 	300 000
SaiPa
SaiPa
Maalivahdit 		O 	LPP 	Arvo 
Hostikka Ville 		2 	1 	240 000
Myllyniemi Jere 	19 	168 	340 000
Vaisanen Timo 		0 	0 	150 000
Puolustajat 		O 	LPP 	Arvo 
Backman Simon 		20 	109 	290 000
Koponen Marlo 		16 	27 	165 000
Levokari Pauli 		19 	100 	365 000
Lippojoki Jarno 	3 	9 	150 000
Mielonen Juho 		15 	114 	280 000
Nyrhinen Antti 		3 	22 	150 000
Pukka Mikko 		18 	49 	240 000
Pulkki Simo 		0 	0 	150 000
Sondell Daniel 		7 	38 	285 000
Tuominen Joni 		20 	173 	405 000
Hyokkaajat 		O 	LPP 	Arvo 
Barney Scott 		19 	133 	345 000
Grunn Carlo 		9 	79 	275 000
Hamalainen Roope 	0 	0 	150 000
Jasko Tomas 		15 	89 	255 000
Jokila Jarmo 		0 	0 	150 000
Jokinen Olli 		0 	0 	150 000
Jouhkimainen Miikka 	0 	0 	150 000
Kaijomaa Juuso 		2 	3 	150 000
Kaksonen Elmeri 	18 	51 	180 000
Koho Ville 		9 	41 	270 000
Koskinen Petri 		20 	43 	260 000
Koskiranta Jarno 	20 	102 	330 000
Koskiranta Tero 	18 	35 	300 000
Leivo Tomi 		0 	0 	150 000
Lofman Anssi 		20 	58 	245 000
Mankinen Jesse 		8 	7 	155 000
Noyranen Pentti 	15 	42 	210 000
Paalanen Ville 		0 	0 	150 000
Pohl Petr 		11 	52 	215 000
Redenbach Tyler 	20 	132 	415 000
Tiainen Jussi 		0 	0 	150 000
Toporowski Shayne 	20 	167 	390 000
Yli-Torkko Joni 	15 	36 	200 000
Tappara
Tappara
Maalivahdit 		O 	LPP 	Arvo 
Edelmann Mikael 	0 	0 	150 000
Lehto Mika 		3 	13 	230 000
Maenalanen Veli-Heikki 	0 	0 	150 000
Seppanen Teemu 		0 	0 	150 000
Sateri Harri 		17 	156 	385 000
Puolustajat 		O 	LPP 	Arvo 
Halme Jussi 		20 	79 	295 000
Ilvonen Harri 		17 	46 	280 000
Korhonen Lasse 		3 	0 	150 000
Leimu Juha 		19 	173 	300 000
Malkamaki Miko 		0 	0 	150 000
Mantyla Tuukka 		17 	142 	385 000
Pentikainen Atte 	20 	39 	200 000
Saravo Pekka 		16 	107 	320 000
Turkulainen Jesse 	10 	33 	185 000
Hyokkaajat 		O 	LPP 	Arvo 
Enlund Jonas 		20 	150 	440 000
Goren Lee 		0 	0 	150 000
Guolla Stephen 		17 	157 	420 000
Hughes John 		0 	0 	150 000
Junnila Jyri 		20 	81 	270 000
Kangasniemi Antti 	0 	0 	150 000
Karjalainen Joni 	0 	0 	150 000
Koskela Timo 		20 	166 	340 000
Koskinen Joonas 	17 	51 	280 000
Lehtera Jori 		19 	172 	500 000
Lucenius Niclas 	19 	119 	350 000
Lahde Nestori 		7 	18 	185 000
Matzka Scott 		2 	8 	150 000
Nieminen Ville 		17 	126 	370 000
Ojanen Janne 		6 	34 	200 000
Pekkala Tomi 		12 	58 	240 000
Peltola Jukka 		18 	20 	200 000
Peltonen Tomi 		12 	22 	180 000
Pyymaki Jarkko 		17 	23 	200 000
Ryhanen Sami 		0 	0 	150 000
Stromberg Kim 		17 	53 	275 000
Tuominen Martin 	0 	0 	150 000
TPS
TPS
Maalivahdit 		O 	LPP 	Arvo 
Engren Atte 		14 	105 	315 000
Leggio David 		10 	72 	320 000
Ortio Joni 		0 	0 	150 000
Puolustajat 		O 	LPP 	Arvo 
Aaltonen Mikael 	6 	9 	155 000
Berg Aki-Petteri 	12 	38 	285 000
Campbell Darcy 		6 	15 	150 000
Eronen Kimmo 		0 	0 	150 000
Halonen Antti 		18 	60 	300 000
Johnsson Per 		7 	18 	150 000
Jarvinen Joonas 	17 	69 	275 000
