HIFK
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Mannikko Miikka 		13 	0 	5 	0 	0 	0 	0 	36 	5 	4 	8 	0 	0 	0 	0 	55 	430 000 	
Nieminen Niko 		13 	2 	0 	0 	2 	0 	1 	23 	2 	3 	2 	0 	0 	0 	1 	37 	328 000 	
Sailio Jari 		13 	0 	2 	0 	0 	0 	0 	26 	3 	4 	14 	0 	1 	0 	0 	40 	337 000 	
Siren Niklas 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Turtiainen Jaakko 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Vihko Joonas 		13 	4 	8 	0 	1 	0 	0 	39 	8 	10 	2 	0 	0 	1 	1 	93 	515 500 	
Viinamaki Miika 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Viitaluoma Ville 		13 	4 	5 	0 	1 	0 	1 	66 	9 	11 	10 	0 	1 	0 	1 	103 	557 000 	
JYP
JYP
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Kaulio Niko 		13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		154 500 	
Laitinen Jarno 		13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		154 500 	
Tuokkola Pekka 		13 	5 	6 	0 	21 	308 	3 	0 	1 	0 	0 	1 	2 	2 	155 		609 500 	
Wallinheimo Sinuhe 		13 	1 	1 	0 	7 	67 	0 	0 	0 	0 	0 	0 	0 	0 	16 		396 000 	
Puolustajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Jaatinen Antti 		5 	1 	2 	0 	0 	0 	0 	9 	4 	4 	2 	0 	1 	0 	0 	34 	259 500 	
Kaijomaa Kalle 		13 	0 	1 	0 	0 	0 	0 	46 	5 	5 	0 	0 	0 	0 	0 	35 	360 000 	
Kantee Kevin 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	196 000 	
Koistinen Matti 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	154 500 	
Koskinen Kalle 		13 	1 	4 	0 	0 	0 	0 	38 	5 	6 	12 	0 	2 	0 	0 	72 	459 000 	
Malmivaara Olli 		10 	0 	0 	0 	0 	0 	0 	15 	2 	6 	18 	0 	0 	0 	0 	25 	337 500 	
Vatanen Sami 		13 	3 	4 	0 	1 	0 	0 	72 	5 	6 	6 	0 	0 	0 	1 	106 	510 500 	
Viitanen Mikko 		11 	0 	1 	0 	0 	0 	0 	16 	6 	6 	2 	0 	0 	0 	0 	25 	276 000 	
Valivaara Jyrki 		13 	0 	2 	0 	0 	0 	0 	33 	5 	7 	8 	0 	0 	0 	0 	41 	301 000 	
Hyokkaajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Asplund Turo 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Hakkarainen Mikko 		12 	4 	2 	0 	1 	0 	0 	23 	7 	5 	4 	0 	0 	0 	1 	63 	359 000 	
Heikkinen Timo-Pekka 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Hytonen Juha-Pekka 		13 	2 	6 	0 	0 	0 	0 	68 	4 	3 	12 	0 	1 	0 	0 	92 	528 000 	
Ikonen Jasse 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	151 500 	
Jormakka Pekka 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Jaaskelainen Jari 		13 	0 	0 	0 	0 	0 	0 	30 	1 	6 	4 	0 	0 	0 	0 	17 	314 500 	
Kariya Steve 		12 	1 	1 	0 	0 	0 	0 	42 	3 	6 	10 	0 	0 	0 	0 	44 	480 000 	
Lahti Miika 		12 	1 	1 	0 	0 	0 	0 	21 	4 	8 	16 	0 	1 	0 	0 	26 	274 500 	
Louhivaara Ossi 		13 	4 	3 	1 	0 	0 	0 	61 	4 	2 	2 	0 	0 	2 	0 	86 	474 000 	
Makkonen Jussi 		8 	0 	0 	0 	0 	0 	0 	23 	1 	2 	10 	0 	0 	0 	0 	24 	413 000 	
Pihlman Tuomas 		2 	0 	0 	0 	0 	0 	0 	10 	1 	0 	2 	0 	0 	0 	0 	9 	251 500 	
Pihlstrom Antti 		13 	3 	4 	0 	2 	0 	1 	56 	3 	2 	18 	0 	0 	0 	2 	83 	500 500 	
Piiroinen Samuli 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Poukkula Markus 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Riska Filip 		13 	1 	4 	0 	1 	0 	0 	48 	5 	6 	20 	0 	0 	2 	0 	64 	365 000 	
Sipilainen Olli 		13 	2 	1 	1 	1 	0 	0 	30 	6 	9 	0 	0 	0 	0 	0 	43 	315 500 	
Tuppurainen Jani 		11 	2 	0 	0 	0 	0 	0 	46 	1 	2 	6 	0 	0 	1 	0 	45 	435 000 	
Virpio Jouni 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Virtanen Antti 		8 	1 	3 	0 	0 	0 	0 	22 	4 	2 	0 	0 	1 	0 	0 	38 	353 000 	
Virtanen Jonne 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	150 000 	
Vanttinen Tuomas 		13 	1 	4 	0 	0 	0 	0 	41 	5 	7 	6 	0 	0 	0 	0 	55 	379 500 	
KalPa
KalPa
Maalivahdit 	  	O 	V 	H 	TP 	PM 	TO 	NP 	M 	S 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	  	Arvo 	 
Ahonen Ari 		12 	5 	4 	0 	21 	189 	0 	0 	1 	0 	0 	0 	2 	1 	66 		497 500 	
Jarvinen Mika 		12 	1 	2 	0 	7 	64 	1 	0 	0 	0 	0 	0 	0 	1 	30 		392 500 	
Simila Petteri 		12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		200 000 	
Puolustajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Andersson Adam 		12 	1 	4 	0 	0 	0 	0 	84 	8 	4 	6 	0 	0 	0 	0 	96 	547 500 	
Hirvonen Pasi 		1 	0 	0 	0 	0 	0 	0 	1 	0 	0 	4 	0 	0 	0 	0 	5 	172 500 	
Hyvarinen Ville 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	200 000 	
Jalasvaara Janne 		12 	2 	4 	0 	0 	0 	0 	35 	10 	6 	2 	0 	0 	0 	0 	78 	439 500 	
Kukkonen Mikko 		6 	1 	0 	0 	0 	0 	0 	10 	4 	1 	2 	0 	0 	0 	0 	26 	238 000 	
Lappalainen Lasse 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	154 500 	
Seppanen Timo 		11 	1 	0 	0 	0 	0 	0 	17 	6 	8 	8 	0 	0 	0 	0 	32 	339 500 	
Stromberg Mika 		12 	2 	3 	0 	1 	0 	0 	33 	5 	11 	4 	0 	1 	0 	0 	62 	441 500 	
Timonen Jussi 		10 	1 	1 	0 	1 	0 	1 	14 	7 	3 	14 	0 	0 	0 	1 	56 	364 000 	
Varakas Ville 		11 	0 	1 	0 	0 	0 	0 	22 	5 	7 	12 	0 	0 	0 	0 	33 	352 000 	
Hyokkaajat 	  	O 	M 	S 	AV 	VM 	TM 	JA 	L 	+ 	- 	JM 	OR 	IS1 	IS2 	IS3 	LPP 	Arvo 	 
Dahlman Toni 		12 	1 	1 	0 	0 	0 	0 	24 	3 	4 	6 	0 	1 	0 	0 	34 	412 000 	
Hartikainen Teemu 		12 	6 	1 	0 	0 	0 	0 	47 	9 	5 	28 	0 	3 	0 	1 	84 	459 000 	
Hyvarinen Toni 		8 	0 	3 	0 	0 	0 	0 	10 	3 	1 	2 	0 	0 	0 	0 	25 	281 500 	
Jokinen Tommi 		11 	0 	5 	0 	0 	0 	0 	12 	5 	3 	2 	0 	1 	0 	0 	38 	296 000 	
Kapanen Sami 		12 	6 	7 	0 	1 	0 	1 	46 	7 	5 	0 	0 	0 	1 	1 	106 	581 000 	
Kerman Kalle 		12 	3 	4 	0 	2 	0 	1 	53 	4 	6 	6 	0 	1 	1 	0 	79 	506 500 	
Kiiskinen Tuomas 		3 	1 	2 	0 	0 	0 	0 	13 	2 	2 	0 	0 	0 	1 	0 	25 	460 000 	
Laakso Tapio 		12 	1 	3 	0 	1 	0 	0 	20 	7 	4 	8 	0 	0 	0 	1 	54 	417 500 	
Miettinen Tommi 		12 	4 	5 	0 	0 	0 	0 	31 	3 	6 	8 	0 	0 	1 	0 	74 	493 000 	
Nuutinen Mikko 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	151 500 	
Pakarinen Iiro 		11 	3 	0 	0 	0 	0 	0 	31 	5 	3 	8 	0 	1 	0 	0 	54 	322 000 	
Rasi Petteri 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	151 500 	
Riekkinen Joonas 		12 	1 	5 	0 	0 	0 	0 	19 	9 	4 	2 	0 	0 	0 	0 	54 	285 000 	
