Blues
Maalivahdit 	  	O 	LPP 	Arvo
Nyrhinen Antti 		5 	33 	280 000
Pukka Mikko 		10 	64 	225 000
Pulkki Simo 		0 	0 	150 000
Taimi Tommi 		0 	0 	150 000
Tuominen Joni 		11 	98 	300 000
Hyokkaajat 	  	O 	LPP 	Arvo
Barney Scott 		11 	86 	300 000
Hamalainen Roope 	0 	0 	150 000
Jasko Tomas 		11 	88 	280 000
Jokila Jarmo 		8 	61 	240 000
Jokinen Olli 		0 	0 	150 000
Jouhkimainen Miikka 	0 	0 	150 000
Kaijomaa Juuso 		0 	0 	150 000
Kaksonen Elmeri 	9 	15 	160 000
Koho Ville 		10 	49 	270 000
Koskinen Petri 		11 	59 	250 000
Koskiranta Jarno 	11 	89 	285 000
Koskiranta Tero 	7 	20 	325 000
Leivo Tomi 		0 	0 	150 000
Lofman Anssi 		10 	36 	280 000
Mankinen Jesse 		2 	18 	170 000
Noyranen Pentti 	11 	70 	220 000
Paalanen Ville 		0 	0 	150 000
Pohl Petr 		1 	1 	200 000
Redenbach Tyler 	11 	104 	375 000
Tiainen Jussi 		0 	0 	150 000
Toporowski Shayne 	11 	86 	380 000
Yli-Torkko Joni 	7 	19 	200 000
Tappara
Tappara
Maalivahdit 	  	O 	LPP 	Arvo
Edelmann Mikael 	12 	0 	150 000
Lehto Mika 		12 	21 	300 000
Maenalanen Veli-Heikki 	12 	0 	150 000
Seppanen Teemu 		12 	0 	175 000
Sateri Harri 		12 	81 	355 000
Puolustajat 	  	O 	LPP 	Arvo
Halme Jussi 		11 	81 	285 000
Ilvonen Harri 		11 	79 	300 000
Korhonen Lasse 		4 	16 	250 000
Leimu Juha 		8 	47 	230 000
Malkamaki Miko 		0 	0 	150 000
Mantyla Tuukka 		11 	79 	335 000
Pentikainen Atte 	12 	35 	200 000
Saravo Pekka 		11 	50 	355 000
Turkulainen Jesse 	9 	25 	185 000
Hyokkaajat 	  	O 	LPP 	Arvo
Enlund Jonas 		12 	109 	440 000
Guolla Stephen 		7 	57 	310 000
Junnila Jyri 		12 	61 	290 000
Kangasniemi Antti 	0 	0 	150 000
Karjalainen Joni 	0 	0 	150 000
Koskela Timo 		9 	39 	270 000
Koskinen Joonas 	12 	57 	290 000
Lehtera Jori 		12 	131 	480 000
Lucenius Niclas 	11 	95 	300 000
Lahde Nestori 		8 	19 	185 000
Nieminen Ville 		9 	61 	355 000
Ojanen Janne 		12 	41 	225 000
Peltola Jukka 		10 	30 	215 000
Peltonen Tomi 		4 	8 	160 000
Pyymaki Jarkko 		9 	14 	200 000
Stromberg Kim 		10 	32 	260 000
Tuominen Martin 	0 	0 	150 000
TPS
TPS
Maalivahdit 	  	O 	LPP 	Arvo
Engren Atte 		12 	69 	280 000
Leggio David 		12 	10 	355 000
Ortio Joni 		12 	7 	240 000
Puolustajat 	  	O 	LPP 	Arvo
Aaltonen Mikael 	4 	19 	160 000
Berg Aki-Petteri 	8 	43 	290 000
Campbell Darcy 		10 	49 	330 000
Eronen Kimmo 		1 	1 	185 000
Halonen Antti 		12 	79 	300 000
Jarvinen Joonas 	9 	38 	270 000
Kluuskeri Niko-Petteri 	0 	0 	150 000
Nordlund Markus 	12 	90 	280 000
Palmroth Markus 	0 	0 	150 000
Skalberg Jens 		10 	19 	290 000
Vittasmaki Veli-Matti 	6 	7 	190 000
Hyokkaajat 	  	O 	LPP 	Arvo
Birner Michal 		12 	87 	420 000
Erkinjuntti Antti 	12 	85 	410 000
Filppula Ilari 		12 	100 	300 000
Hattunen Jarkko 	11 	31 	200 000
Hamalainen Aatu 	8 	16 	300 000
Jalo Toni 		2 	0 	150 000
Kokkala Lassi 		8 	10 	150 000
Kolu Max 		12 	17 	205 000
Laine Mikko 		3 	0 	200 000
Plihal Tomas 		9 	88 	435 000
Reivonen Antti 		4 	1 	160 000
Suominen Tuomas 	12 	56 	385 000
Urpo Antti 		0 	0 	150 000
Uusikartano Aki 	12 	71 	360 000
Vahalahti Ville 	12 	126 	425 000
Venalainen Sami 	12 	56 	250 000
Assat
Assat
Maalivahdit 	  	O 	LPP 	Arvo
Jarvenpaa Juha 		12 	0 	150 000
Kilpelainen Eero 	12 	40 	320 000
Rynnas Jussi 		12 	86 	285 000
Puolustajat 	  	O 	LPP 	Arvo
Iliakis Dan 		12 	30 	270 000
Jyrkkio Jesse 		12 	55 	310 000
Kuusisto Matti 		7 	23 	270 000
Milam Troy 		5 	16 	270 000
Maatta Tero 		12 	34 	270 000
Palomaki Mikko 		6 	2 	205 000
Rahkola Miro 		6 	8 	150 000
Sammalkangas Tapio 	0 	0 	240 000
Stenroos Niklas 	0 	0 	150 000
Uusitalo Ville 		12 	84 	365 000
Hyokkaajat 	  	O 	LPP 	Arvo
Forsbacka Patrik 	6 	22 	210 000
Huhtala Tommi 		11 	27 	310 000
Huhtanen Tuomas 	11 	71 	300 000
Kivenmaki Marko 	12 	86 	400 000
Kuparinen Matti 	3 	-5 	300 000
Laaksonen Jesse 	3 	3 	150 000
Laukkanen Tuomo 	4 	14 	235 000
Luomala Marko 		10 	93 	345 000
Makila Antti 		11 	21 	200 000
Makinen Marko 		9 	25 	200 000
Niemi Mika 		12 	70 	355 000
Palonen Niko 		2 	3 	150 000
Salminen Sakari 	11 	62 	300 000
Savinainen Veli-Matti 	9 	19 	280 000
Sillanpaa Severi 	12 	62 	280 000
Uusitalo Antti 		0 	0 	150 000
Zaborsky Tomas 		10 	27 	260 000
